Dr/Cr,group of chart acct,,,Ledger,Ledger Name,Currency,balance only 
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1001,MICRO FINANCE INSTIT.-T/L,1 ETB,-36131917.43
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1051,MORTGAGE-STAFF LOAN-T/L,1 ETB,-689780472.2
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1052,MORTGAGE-CUSTOMER LOAN-T/L,1 ETB,-326872700.9
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1101,PERSONAL STAFF-T/L,1 ETB,-117294975.1
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1102,EMERGENCY STAFF LOAN-T/L,1 ETB,-136179101.6
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1103,PERSONAL CUSTOMER-T/L,1 ETB,-37299738.02
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1110,CONSUMER DURABLE STAFF-T/L,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1113,CONSUMER DURABLE CUSTOMER-T/L,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1116,AUTO MOBILE STAFF-T/L,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1119,AUTO MOBILE CUSTOMER-T/L,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1163,DTS-MEMO MARGIN-OVERDRAFT,1 ETB,-488430.08
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1177,MEMO MARGIN OD-TRANSPO & COM.LOAN,1 ETB,-500000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1178,MEMO MARGIN OD-CONSTRUCTION LOAN,1 ETB,-3000000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1179,MEMO MARGIN OD-IMPORT LOAN,1 ETB,-1789487.97
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1180,MEMO MARGIN OD-EXPORT PRESHIPMENT,1 ETB,-61604486.4
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1183,MEMO MARGIN OD-EXPORT LOAN,1 ETB,-54740975.37
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1184,MEMO MARGIN OD-INDUSTRY LOAN,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1191,ARREARS LOAN - MORTGAGE STAFF T/L,1 ETB,-2616725.79
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1192,ARREARS LOAN - PERSONAL STAFF T/L,1 ETB,-398234.17
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1193,ARREARS LOAN - PERSONAL CUSTOMER T/L,1 ETB,-1501859.38
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1199,ARREARS LOAN - AGRICULTURE T/L,1 ETB,-38931058.49
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1200,ARREARS LOAN - INDUSTRY T/L,1 ETB,-96751876.9
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1201,ARREARS LOAN - DTS.T/L,1 ETB,-711775289.1
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1205,ARREARS LOAN - EXPORT T/L,1 ETB,-99447904.85
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1206,ARREARS LOAN - IMPORT T/L,1 ETB,-63023349.56
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1207,ARREARS LOAN - CONSTRUCTION. T/L,1 ETB,-105861430
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1208,ARREARS LOAN - TRANSPORT & COMM. T/L,1 ETB,-24060779.36
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1209,ARREARS LOAN - HOTEL & TOURISM T/L,1 ETB,-88721099.14
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1210,ARREARS LOAN - MORTGAGE CUSTOMER T/L,1 ETB,-2836184.26
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1211,ARREARS LOAN - MICRO FINAN. INST.T/L,1 ETB,-2257993.7
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1218,ARREARS LOAN - EMERGENCY STAFF LOAN T/L,1 ETB,-3382365.52
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1231,INT.RECEIVABLE-AGRICULTURE T/L,1 ETB,-2292499.79
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1232,INT.RECEIVABLE-AGRICULTURE OD,1 ETB,-1392.86
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1234,INT.RECEIVABLE-INDUSTRY T/L,1 ETB,-4443731.21
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1235,INT.RECEIVABLE-INDUSTRY OD,1 ETB,-173868.83
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1238,INT.RECEIVABLE-DTS OD,1 ETB,-164061.58
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1239,INT.RECEIVABLE-DTS T/L,1 ETB,-39156696.55
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1241,INT.RECEIVABLE-EXPORT OD,1 ETB,-359837.02
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1243,INT.RECEIVABLE-EXPORT PRESHIPMENT,1 ETB,-776538.03
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1246,INT.RECEIVABLE-IMPORT OD,1 ETB,-187479.1
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1249,INT.RECEIVABLE-CONSTRUCTION OD,1 ETB,-71248.81
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1252,INT.RECEIVABLE-TRANSPORT & COMM. OD,1 ETB,-19512.07
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1255,INT.RECEIVABLE-HOTEL & TOURISM OD,1 ETB,-46404.72
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1262,INT.RECEIVABLE-MORTGAGE STAFF T/L,1 ETB,-165939.57
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1263,INT.RECEIVABLE-PERSONAL STAFF T/L,1 ETB,-22311.86
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1264,INT.RECEIVABLE-PERSONAL CUSTOMER T/L,1 ETB,-50179.47
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1265,INT.RECEIVABLE-CONS.DURABLE STAFF T/L,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1266,INT.RECEIVABLE-CONS.DURABLE CUSTOMER T/L,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1267,INT.RECEIVABLE-AUTO MOBILE STAFF T/L,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1268,INT.RECEIVABLE-AUTO MOBILE CUSTOMER T/L,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1341,INT.RECEIVABLE ON ARR.-MORTGAGE STAFF,1 ETB,-539913.89
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1342,INT.RECEIVABLE ON ARR.-PERSONAL STAFF,1 ETB,-75490.33
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1343,INT.RECEIVABLE ON ARR.-PERSONAL CUSTOM,1 ETB,-223221.26
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1348,INT.RECEIVABLE ON ARR.-AGRICULTURE T/L,1 ETB,-2306848.95
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1349,INT.RECEIVABLE ON ARR.-INDUSTRY T/L,1 ETB,-13535976.52
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1350,INT.RECEIVABLE ON ARR.-DTS. T/L,1 ETB,-49452143.64
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1354,INT.RECEIVABLE ON ARR.-EXPORT T/L,1 ETB,-8262199.5
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1355,INT.RECEIVABLE ON ARR.-IMPORT T/L,1 ETB,-5370040.21
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1356,INT.RECEIVABLE ON ARR.-CONSTRUCTION T/L,1 ETB,-37960322.23
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1357,INT.RECEIVABLE ON ARR.-TRANS. & COM T/L,1 ETB,-2250231.39
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1358,INT.RECEIVABLE ON ARR.-HOTEL & TOUR T/L,1 ETB,-8707365.38
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1360,INT.RECEIVABLE ON ARR.-MICRO FIN.IN.T/L,1 ETB,-2027546.87
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1369,INT.RECEIVABLE-EXPORT T/L,1 ETB,-2861859.69
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1371,INT.RECEIVABLE-IMPORT T/L,1 ETB,-2795608.83
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1373,INT.RECEIVABLE-CONSTRUCTION T/L,1 ETB,-8037828.44
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1375,INT.RECEIVABLE-TRANSPORT & COMMUNIC. T/L,1 ETB,-580092.34
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1377,INT.RECEIVABLE-HOTEL & TOURISIM T/L,1 ETB,-3406132.58
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1381,INT.RECEIVABLE-MICRO FINANCE INSTIT. T/L,1 ETB,-37302.54
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1383,INT.RECEIVABLE-ADV.AGAINEST IMPORT BILL,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1384,INT.RECEIVABLE-MORTGAGE CUSTOMER T/L,1 ETB,-572998.77
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1385,INT.RECEIVABLE ON ARR.-MORTGAGE CUS.T/L,1 ETB,-689110.31
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1430,MURABAHA FINANCING,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1431,MUR.LEDGER-AGRICULTURE,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1432,NOT USED - TO BE DELETED,1 ETB,-5000853.01
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1433,MUR.LEDGER-INDUSTRY,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1435,MUR.LEDGER-DTS,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1437,MUR.LEDGER-IMPORT,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1439,MUR.LEDGER-CONSTRUCATION,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1441,MUR.LEDGER-TRANSPORT & COMM,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1443,MUR.LEDGER-HOTEL AND TOURISM,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1445,MUR.LEDGER-CONSUMER & PERSONAL,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1448,MUR.LEDGER-MERCHANDIZE,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1450,MUR.ARR.- MERCHANDIZE,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1480,MUR.ARR.- AGRICULTURE,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1481,MUR.ARR.- INDUSTRY,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1482,MUR.ARR.- DTS,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1483,MUR.ARR.- IMPORT,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1484,MUR.ARR.- CONSTRUCATION,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1485,MUR.ARR.- TRANSPORT & COMM,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1486,MUR.ARR.- HOTEL & TOURISM,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1487,MUR.ARR.- CONSUMER & PERSONAL,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1581,MUR.NPF.- AGRICULTURE,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1582,MUR.NPF.- INDUSTRY,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1583,MUR.NPF.- DTS,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1584,MUR.NPF.- IMPORT,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1585,MUR.NPF.- CONSTRUCATION,1 ETB,0
